bmrk_eng_nm,bmrk_nm,curr_cd,exchdg_yn,fd_estb_ctry_cd,fd_ivst_rgn_desc,fd_mm18_ern_r,fd_mm1_ern_r,fd_mm3_ern_r,fd_mm6_ern_r,fd_nast_suma,fd_set_pcd,fd_wk1_ern_r,fd_yr1_ern_r,fd_yr2_ern_r,fd_yr3_ern_r,fd_yr5_ern_r,frc_bpr_itm_yn,fss_itm_no,hdge_fd_yn,int_dvd_desc,itm_abrv_nm,itm_eabrv_nm,itm_eng_nm,itm_nm,itm_no,kofia_fd_ccd,ksd_itm_no,mtco_itm_no,ofsfd_yn,or_attr_desc,or_co_xtn_itt_cd,ovrs_fd_desc,pers_corp_desc,pfiv_sale_cntl_tcd,prvo_fd_desc,prvo_pbff_desc,rptt_ksd_itm_no,sale_yn,std_itm_no,thco_sale_yn,trusc_xtn_itt_cd,zrin_fd_ivst_risk_gcd,zrin_fd_ivst_risk_grd_nm,risk_grade,risk_available,as_of_date,source_table
MSCI EUROPE,MSCI EUROPE,KRW,Y,000,유럽,-5.11,2.42,8.11,3.51,20025927646.0000,10,-0.41,-3.76,-8.56,-2.13,-3.25,0,0011458C0271,0,배당,피델리티유럽자투자(주식-재간접)PRS,,FIDELITY KOREA - EUROPE BABY INVESTMENT TRUST (EQUITY-FUND OF FUNDS) CLASS PRS,피델리티유럽증권자투자신탁(주식-재간접형)종류PRS,KR5148450156,16123Y1203624110126C,KRZ50135541D,0043211,0,재간접,00080029,해외,개인,00,해당없음,공모,033180043211,판매중,KR5235AK9683,Y,00020054,3,다소 높은 위험,3.0,True,2026-07-11,PRFD01N001
KOSPI 200,KOSPI200,KRW,,000,국내,,,,,,10,,,,,,0,000000000000,0,배당,플러스코리아IN1Cs,,PLUS KOREA INDEX FUND NO.1(EQUITY)C-s,플러스코리아인덱스증권투자신탁1호(주식)C-s,KR514102019M,00000000000000000000,KRZ501855179,66081,0,주식형,00080018,국내,해당없음,00,해당없음,공모,032510066001,판매완료,KR5311AM5090,Y,00050004,,,,False,2026-07-11,PRFD01N001
MSCI ACWI  90% + Call 10%,MSCI ACWI  90% + Call 10%,KRW,Y,000,글로벌,22.09,-3.22,17.30,15.97,52960975010.0000,10,-0.45,31.95,22.57,38.14,29.94,0,0010183C2633,0,배당,교보악사로보테크자1호(H)(주식)CP,,KYOBO AXA ROBOTECH SECURITIES FEEDER INVESTMENT TRUST 1(H) [EQUITY],교보악사로보테크증권자투자신탁1호(H)[주식]ClassC-P,KR5120450054,12123A12036021101ZZB,KRZ502171867,0324110,0,주식형,00040001,해외,개인,00,해당없음,공모,030400324110,판매중,K55207BT8018,Y,00020004,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
KOSPI200 10% +  KAP Bond Index 01Y 90%,KOSPI200 10% + 종합채권 01Y 90%,KRW,N,000,국내,,,,,1567508359.0000,10,,,,,,0,0010205C2500,0,배당,미래에셋단기국공채공모주(채권혼합)Ae,,미래에셋단기국공채공모주증권투자신탁(채권혼합)종류A-E,미래에셋단기국공채공모주증권투자신탁(채권혼합)종류A-e,KR5153430117,141116123430126ZZ264,KRZ501933022,0007450,0,채권혼합,00080008,국내,해당없음,00,해당없음,공모,031910007450,판매완료,KR5301AW7906,Y,00020020,,,,False,2026-07-11,PRFD01N001
MSCI ACWI CR 50% + KAP Bond Index 01Y 50%,MSCI ACWI CR 50% + 종합채권01Y 50%,KRW,Y,000,글로벌,,,,,366571381.0000,10,,,,,,0,0010173C6615,0,배당,삼성솔루션글로벌알파자H(주식혼합재간접)A,,삼성솔루션글로벌알파증권자투자신탁H[주식혼합-재간접형]_A,삼성솔루션글로벌알파증권자투자신탁H[주식혼합-재간접형]_A,KR5114490080,16123212001021111ZZC,KRZ502073341,01MG300,0,재간접,00040010,해외,해당없음,00,해당없음,공모,0302001MG300,판매완료,K55105BG4627,Y,00020004,,,,False,2026-07-11,PRFD01N001
Bloomberg GLOBAL AGGREGATE(USD HEDGED) 95% + CALL 5%,Bloomberg GLOBAL AGGREGATE(USD HEDGED) 95% + CALL 5%,USD,N,000,글로벌,,,,,145487.3100,10,,,,,,1,0010186C4878,0,배당,신한H20글로벌본드(USD)[채혼-파재]Ce,,SH H2O GLOBAL BOND SECURITY INVESTMENT TRUST(USD)[BALANCED BOND-DERIVATIVES FOFS],신한H2O글로벌본드증권투자신탁(USD)[채권혼합-파생재간접형] 종류Ce,KR5117490007,16221612001025925263,KRZ502276525,0254180,0,재간접,00040067,해외,해당없음,00,해당없음,공모,030480254180,판매완료,K55210CE5155,Y,00020004,,,,False,2026-07-11,PRFD01N001
MSCI AC ASIA PACIFIC CR 50% + KAP Bond Index 01Y 50%,MSCI AC ASIA PACIFIC CR 50% + 종합채권01Y 50%,KRW,Y,000,아시아,,,,,15860968956.0000,20,0.83,,,,,0,0010172C003I,0,배당,브이아이아시아AI소부장1[채혼재]CE,,브이아이 아시아 AI 소부장 목표전환형 증권 투자신탁 1호[채권혼합-재간접형] C-E,브이아이 아시아 AI 소부장 목표전환형 증권 투자신탁 1호[채권혼합-재간접형] C-E,KR5116490003,16131632012032111ZZ4,KRZ502668084,00AL720,0,재간접,00040018,해외,해당없음,00,해당없음,공모,0304200AL720,판매중,K55104EU4866,Y,00020004,4,보통 위험,4.0,True,2026-07-11,PRFD01N001
KOSPI High Dividend Yield 50,코스피 고배당 50,KRW,,000,국내,154.74,0.07,30.01,64.18,2521765146614.0000,10,6.94,114.77,134.93,173.86,145.37,0,0010185C0758,0,배당,신영밸류고배당증권자투자신탁(주식)e,,신영밸류고배당증권자투자신탁(주식)E,신영밸류고배당증권자투자신탁(주식)e,KR5125450014,12113612065011411112,KRZ500018294,008970,0,주식형,00040014,국내,해당없음,00,해당없음,공모,030290008970,판매중,KR5209950314,Y,00020004,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
MSCI INDIA,MSCI INDIA,KRW,N,000,이머징/브릭스,-18.32,0.93,-2.42,-13.61,12739067900.0000,10,-2.23,-11.90,-9.54,14.77,14.77,0,0010193C0222,0,배당,우리프랭클린인디아증권자(UH)(주-재)C1,,Woori Franklin India Equity Feeder FoF (UH) C1,우리프랭클린인디아증권자투자신탁(UH)(주식-재간접형)ClassC1,KR5134490031,16123412301181111202,KRZ500366414,0617120,0,재간접,00040007,해외,해당없음,00,해당없음,공모,03101000FE67,판매중,KR5217772148,Y,00020054,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
MSCI EM EUROPE,MSCI EM EUROPE,KRW,Y,000,유럽,0.00,0.00,0.00,0.00,2494406605.0000,10,0.00,0.00,0.00,0.00,0.00,0,0010193C0408,0,배당,우리템플턴이스턴유럽증권자(주-재)C3,,WOORI TEMPLETON EASTERN EUROPE EQUITY FEEDER FOF C3,우리템플턴이스턴유럽증권자투자신탁(주식-재간접형)ClassC3,KR5134450025,1612341230109111123B,KRZ501367646,0616120,0,재간접,00040007,해외,해당없음,00,해당없음,공모,03101000FE02,판매중,KR5217285430,Y,00020054,3,다소 높은 위험,3.0,True,2026-07-11,PRFD01N001
Bloomberg U.S. AGGREGATE 90%,Bloomberg U.S. AGGREGATE 90%,KRW,N,000,남미/북미,,3.61,-0.86,0.12,10011546257.0000,10,0.20,10.12,,,,0,0010198C6809,0,배당,KB 미국장기국채증권자(채)(UH)C퇴직e,,KB 미국 장기국채 플러스 증권 자투자신탁(채권)(UH) C-퇴직E,KB 미국 장기국채 플러스 증권 자투자신탁(채권)(UH) C-퇴직e,KR5127420143,11123A12060103125ZZ3,KRZ50258238E,0001F61,0,채권형,00040035,해외,해당없음,00,해당없음,공모,030230001F61,판매중,K55223E92733,Y,00020027,3,다소 높은 위험,3.0,True,2026-07-11,PRFD01N001
HSCEI 50% + Call 50%,항셍 50% + Call 50%,KRW,Y,000,이머징/브릭스,12.12,-2.67,2.33,0.78,5098640899.0000,10,-2.05,4.12,21.99,18.52,-9.93,0,000000000000,0,배당,미래에셋차이나배당커버드콜자1호(주혼)C4,,미래에셋차이나배당커버드콜액티브증권자투자신탁1호(주식혼합)종류C4,미래에셋차이나배당커버드콜액티브증권자투자신탁1호(주식혼합)종류C4,KR5137470124,00000000000000000000,KRZ501931266,0536610,0,주식혼합,00080008,해외,해당없음,00,해당없음,공모,031910536610,판매중,KR5301AW3921,Y,00020027,3,다소 높은 위험,3.0,True,2026-07-11,PRFD01N001
MSCI NORTH AMERICA,MSCI NORTH AMERICA,KRW,Y,000,남미/북미,15.46,-0.82,8.19,5.96,44572553278.0000,10,-0.11,18.04,23.66,51.88,53.93,0,000000000000,0,배당,미래에셋미국배당커버드콜자(주식)(H)C4,,미래에셋미국배당커버드콜액티브증권자투자신탁(주식)(H)종류C4,미래에셋미국배당커버드콜액티브증권자투자신탁(주식)(H)종류C4,KR5153450574,00000000000000000000,KRZ502108866,0480740,0,주식형,00080008,해외,해당없음,00,해당없음,공모,031910480740,판매중,K55301BL1586,Y,00020027,3,다소 높은 위험,3.0,True,2026-07-11,PRFD01N001
KOSPI200 25% + KAP Bond Index 01Y 75%,KOSPI200 25% + 종합채권01Y 75%,KRW,,000,국내,55.31,2.32,16.65,28.64,60308721808.0000,10,3.40,44.31,48.32,58.73,54.03,0,0010170C4696,0,배당,하나공모주&지배구조자(채권혼합)A,,HANA IPO & GOVERNANCE INVESTMENT TRUST [BOND BALANCED] CLASS A,하나 공모주&지배구조증권자투자신탁[채권혼합] 종류A,KR5111430040,14111212025012611ZZ5,KRZ501907511,0047531,0,채권혼합,00040005,국내,해당없음,00,해당없음,공모,032100047531,판매중,KR5102AT4644,Y,00020011,4,보통 위험,4.0,True,2026-07-11,PRFD01N001
KOSPI200 5% + KAP Corp. Bond(BBB) 02Y 95%,KOSPI200 5% +  회사채I-BBB종합 02Y  95%,KRW,,000,국내,5.91,-0.90,-0.32,1.06,132734023291.0000,10,0.20,3.32,8.15,,,0,0010210C7129,0,배당,다올공모주하이일드증권투신[채권혼합]C-Pe,,다올공모주하이일드증권투자신탁[채권혼합] 종류C-Pe,다올공모주하이일드증권투자신탁[채권혼합] 종류C-Pe,KR5152430093,141116123360126ZZZZ5,KRZ501956939,0014422,0,채권혼합,00080013,국내,해당없음,00,해당없음,공모,032400014422,판매중,K55306CR0743,Y,00020081,5,낮은 위험,5.0,True,2026-07-11,PRFD01N001
DWGRTT 90%,DWGRTT 90%,KRW,Y,000,글로벌,,,,,,10,,,,,,0,000000000000,0,배당,미래GL리츠부동산1재C,,MIRAEASSET GLOBAL DISCOVERY REIT REAL ESTATE FUND 1(FoFs)-C,미래에셋글로벌디스커버리리츠부동산투자신탁1호(재간접형)(C-C),KR510909009M,00000000000000000000,KRZ500372202,532132,0,재간접,00080008,해외,해당없음,00,해당없음,공모,031910532130,판매완료,KR5301713644,,00020004,,,,False,2026-07-11,PRFD01N001
KOSPI200 25% + KAP Bond Index 01Y 75%,KOSPI200 25% + 종합채권01Y 75%,KRW,,000,국내,,,,,275222826.0000,10,,,,,,0,0010210C5035,0,배당,KTB안정수익형자(채권혼합-재간접) A,,KTB안정수익형증권자투자신탁[채권혼합-재간접형] A,KTB안정수익형증권자투자신탁[채권혼합-재간접형] A,KR5136990100,161132120010121ZZZZ4,KRZ502046671,0014638,0,재간접,00080013,국내,해당없음,00,해당없음,공모,032400014638,판매완료,K55306BC5443,Y,00020003,,,,False,2026-07-11,PRFD01N001
Bloomberg GLOBAL AGGREGATE(KRW HEDGED) 90%,Bloomberg GLOBAL AGGREGATE(KRW HEDGED) 90%,KRW,N,000,글로벌,,2.25,2.75,4.89,3204446234.0000,10,-0.90,16.21,,,,0,0011317C3395,0,배당,NH-Am OCIO NEW 안정(UH)[채-재]CP1e,,NH-AMUNDI SIGNATURE OCIO NEW 안정형 증권자투자신탁(UH)[채권-재간접형] CLASS C-P1E(연금저축),NH-Amundi Signature OCIO NEW 안정형 증권자투자신탁(UH)[채권-재간접형] Class C-P1e(연금저축),KR5144492183,16123612036023125ZZ5,KRZ50259014A,00FPM85,0,재간접,00040040,해외,개인,00,해당없음,공모,0325700FPM85,판매중,K55232EB3718,Y,00020054,5,낮은 위험,5.0,True,2026-07-11,PRFD01N001
MSCI ACWI CR 50% + KAP Bond Index 01Y 50%,MSCI ACWI CR 50% + 종합채권01Y 50%,KRW,N,000,글로벌,27.84,1.13,11.01,14.30,41433220804.0000,10,0.56,31.83,,,,0,0010198C4592,0,배당,KB올에셋AI솔루션EMP증권(혼재)(UH)C퇴직,,KB 올에셋 AI 솔루션 EMP 증권 자투자신탁(혼합-재간접형)(UH) C-퇴직,KB 올에셋 AI 솔루션 EMP 증권 자투자신탁(혼합-재간접형)(UH) C-퇴직,KR5127490328,16123A1206002ZZZZZZ3,KRZ50241481D,00030G1,0,재간접,00040035,해외,해당없음,00,해당없음,공모,0302300030G1,판매중,K55223CX6841,Y,00020027,3,다소 높은 위험,3.0,True,2026-07-11,PRFD01N001
KOSPI 200,KOSPI200,KRW,,000,국내,251.73,2.47,49.62,105.21,13879719412.0000,10,9.13,197.24,219.94,253.10,200.80,0,0010173C5180,0,배당,삼성밸류플러스증권자투자 제1호(주식) A,,삼성밸류플러스증권자투자신탁 제1호[주식]_A,삼성밸류플러스증권자투자신탁 제1호[주식]_A,KR5114450310,12113212301011211123,KRZ501902851,02MGB00,0,주식형,00040010,국내,해당없음,00,해당없음,공모,0302002MGB00,판매중,KR5105AT1043,Y,00020081,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
MSCI ACWI,MSCI ACWI,KRW,Y,000,글로벌,-6.70,-1.52,-2.21,-13.96,8980222086.0000,10,-5.60,-8.74,,,,0,0010185C1533,0,배당,신영베일리기포드글로벌증권자(H)재간Ae,,신영베일리기포드글로벌그로스증권자투자신탁(H)(주식-재간접형)A-E형,신영베일리기포드글로벌그로스증권자투자신탁(H)(주식-재간접형)A-E형,KR5125490050,16123612001021311ZZA,KRZ502565152,000Y610,0,재간접,00040014,해외,해당없음,00,해당없음,공모,03029000Y610,판매중,K55209E58790,Y,00020088,1,매우 높은 위험,1.0,True,2026-07-11,PRFD01N001
MSCI ACWI,MSCI ACWI,KRW,N,000,글로벌,,1.82,5.00,7.43,726222789.0000,10,-2.13,,,,,0,0011317C3582,0,배당,NH-Amundi JP모간글로벌배당(UH)[주재]Ae,,NH-Amundi JPMorgan Global Dividend Feeder Fund(UH)[Equity-FoF] Class Ae,NH-Amundi JP모간 글로벌배당 증권자투자신탁(UH)[주식-재간접형] Class Ae,KR5144492200,16123612001021111212,KRZ502625582,00EPM78,0,재간접,00040040,해외,해당없음,00,해당없음,공모,0325700EPM78,판매중,K55232EJ2274,Y,00020054,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
CSI 300 LOCAL 90% + CALL 10%,CSI 300 LOCAL 90% + CALL 10%,KRW,Y,000,아시아,25.38,-14.48,-5.48,-3.78,18396857471.0000,10,-3.36,16.14,41.70,24.98,-16.64,0,0010192C6295,0,배당,DB차이나본토RQFII자(H)(주식)CP2e,,DB차이나본토RQFII증권자투자신탁(H)[주식] C-P2E,DB차이나본토RQFII증권자투자신탁(H)[주식] C-P2e,KR5131450149,12123612060171101ZZB,KRZ50196962K,0069510,0,주식형,00040006,해외,해당없음,00,해당없음,공모,030190069510,판매중,K55216BT3075,Y,00020081,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
KOSPI 200,KOSPI200,KRW,N,000,국내,239.56,2.98,50.74,105.43,18060011699.0000,10,8.65,191.97,209.27,238.98,181.01,0,000000000000,0,배당,미래에셋장기주택마련자1호(주식)C5,,미래에셋장기주택마련증권자투자신탁1호(주식)C5,미래에셋장기주택마련증권자투자신탁1호(주식)C5,KR510902484M,00000000000000000000,KRZ500362605,512096,0,주식형,00080008,국내,개인,00,해당없음,공모,031910512091,판매중,KR5301963199,Y,00020088,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
KOSPI 200,KOSPI200,KRW,,000,국내,305.42,3.56,54.43,114.19,158446772783.0000,10,10.20,222.91,259.22,314.22,248.70,0,0011317C0811,0,배당,NH-Amundi 아이사랑 적립1호(주식)C2,,NH-AMUNDI CHILDREN LOVE RSP EQUITY 1CLASS 05,NH-Amundi 아이사랑 적립 증권투자신탁1호[주식] Class C2,KR5144450042,12111412065011211113,KRZ500159895,00EP003,0,주식형,00040040,국내,해당없음,00,해당없음,공모,0325700EP003,판매중,KR5232960306,Y,00020088,1,매우 높은 위험,1.0,True,2026-07-11,PRFD01N001
MSCI ACWI Health Care,MSCI ACWI Health Care,KRW,Y,000,아시아,2.56,-15.41,-15.24,-20.50,397444548.0000,10,-2.65,-16.87,1.49,-3.96,-53.66,0,0010189C2878,0,배당,한화차이나셀렉트헬스케어자(H)(주식)C-P,,HANWHA CHINA SELECT HEALTHCARE FEEDER FUND (H) (EQUITY) C-P,한화차이나셀렉트헬스케어증권 자투자신탁(H)(주식) 종류C-P(연금저축),KR5129450162,1212341203617151118B,KRZ502402299,0169341,0,주식형,00040027,해외,개인,00,해당없음,공모,030220169341,판매중,K55213D18004,Y,00020027,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
MSCI ACWI CR 25% + KAP Bond Index 01Y 75%,MSCI ACWI CR 25% + 종합채권01Y 75%,KRW,Y,000,글로벌,43.58,1.28,15.27,26.01,9631336096.0000,10,2.66,38.22,,,,0,0010183C3442,0,배당,교보악사디딤평생든든 OCIO자투신[채혼-재]C-P,,교보악사 디딤 평생든든 OCIO 자투자신탁[채권혼합-재간접형] Class C-P(연금),교보악사 디딤 평생든든 OCIO 자투자신탁[채권혼합-재간접형] Class C-P(연금),KR5120490096,16133A120360211ZZZZC,KRZ502601557,0364110,0,재간접,00040001,국내외혼합,개인,00,해당없음,공모,030400364110,판매중,K55207EE3310,Y,00020027,3,다소 높은 위험,3.0,True,2026-07-11,PRFD01N001
MSCI AC ASIA PACIFIC ex JAPAN,MSCI AC ASIA PACIFIC ex JAPAN,KRW,N,000,글로벌,,,,,,10,,,,,,0,000000000000,0,배당,JPAsia컨슈머인프라C1,,JPMORGAN ASIA CONSUMER & INFRA FUND1(EQUITY)C1,JP모간아시아컨슈머&인프라증권자투신(주식)C1,KR517602009M,00000000000000000000,KRZ500370779,61022,0,주식형,00080030,해외,해당없음,00,해당없음,공모,034280061011,판매완료,KR5237720978,Y,00020054,,,,False,2026-07-11,PRFD01N001
KOSPI200 25% + KIS Bond Index 01Y 75%,KOSPI200 25% + KIS채권종합01Y 75%,KRW,,000,국내,,,,,,10,,,,,,0,000000000000,0,배당,미래마켓+안정40,,MIRAEASSET,미래에셋 퇴직플랜 마켓플러스 안정형 40 증권 자투자신탁(채권혼합),KR518104049M,00000000000000000000,KRZ500668720,480221,0,채권혼합,00080008,국내,해당없음,00,해당없음,공모,031910480221,판매완료,KR5225979404,,00020011,,,,False,2026-07-11,PRFD01N001
MSCI ACWI,MSCI ACWI,KRW,Y,000,글로벌,,,,,,10,,,,,,0,000000000000,0,배당,도이치에그리자주식A,,도이치에그리비즈니스증권자투자신탁[주식]Cls A,도이치에그리비즈니스증권자투자신탁[주식]Cls A,KR5143450011,00000000000000000000,KRZ500338891,0081060,0,주식형,00040084,해외,해당없음,00,해당없음,공모,032660081060,판매완료,KR5231672928,Y,00020088,,,,False,2026-07-11,PRFD01N001
MSCI ACWI INFRASTRUCTURE,MSCI ACWI INFRASTRUCTURE,KRW,Y,000,글로벌,21.56,0.49,0.76,13.21,90278076804.0000,10,-0.47,16.25,37.88,42.40,39.84,0,0010170C4852,0,배당,하나글로벌인프라자투자(주식)CP2,,HANA GLOBAL INFRA FEEDER INVESTMENT[EQUITY] CLASSC-P2,하나 글로벌인프라증권 자투자신탁[주식]종류C-P2,KR5159651028,12123412060021101ZZC,KRZ50132367D,0065111,0,주식형,00040005,해외,해당없음,00,해당없음,공모,032100065111,판매중,K55102B16007,Y,00020027,3,다소 높은 위험,3.0,True,2026-07-11,PRFD01N001
KOSPI200 5% +  KAP Bond Index 01Y 95%,KOSPI200 5% + 종합채권 01Y 95%,KRW,,000,국내,25.24,0.09,7.06,10.74,4565404751.0000,10,0.42,16.74,25.36,37.22,57.28,0,0010214C1184,0,배당,마이다스거북이50연금저축자1호(주혼)Ce,,MIDAS TURTLE 50 PENSION FEEDER FUND NO.1(EQUITY-HYBRID)CE,마이다스거북이50연금저축증권자투자신탁1호(주식혼합)Ce,KR513403008M,13113612036012111265,KRZ501844862,53599,0,주식혼합,00080005,국내,개인,00,해당없음,공모,031740053597,판매중,KR5303AL6131,Y,00020081,5,낮은 위험,5.0,True,2026-07-11,PRFD01N001
KOSPI 200,KOSPI200,KRW,,000,국내,307.85,3.81,59.47,127.90,6015067903.0000,10,8.90,240.02,259.70,304.92,,0,0011459C2587,0,배당,IBK KOSPI200인덱스청년형소득[주식]Ce,,IBK KOSPI200 INDEX YOUTH INCOME TAX DEDUCTION FEEDER FUND[EQUITY] CLASS CE,IBK KOSPI200인덱스 청년형 소득공제 증권 자투자신탁[주식] 종류 Ce,KR5149450097,12113212073011312ZZ2,KRZ502540834,0083489,0,주식형,00080022,국내,개인,00,해당없음,공모,033490083489,판매중,K55234E02333,Y,00020011,2,높은위험,2.0,True,2026-07-11,PRFD01N001
채권종합지수 1~2Y,종합채권 1~2년,KRW,N,000,글로벌,,-2.96,24.99,52.37,391969213284.0000,10,-4.60,,,,,0,0011988C1126,0,배당,iM에셋타이거포커스증투신(사모투자_재)C,,IM에셋 타이거 포커스 증권투자신탁(사모투자재간접형) C,iM에셋 타이거 포커스 증권투자신탁(사모투자재간접형) C,KR5181490232,1613141202802ZZZZZZ1,KRZ502645823,013603M,0,재간접,00080035,해외,해당없음,00,해당없음,공모,03375013603M,판매중,K55368EN7265,Y,0016022,1,매우 높은 위험,1.0,True,2026-07-11,PRFD01N001
CSI 300 LOCAL 85% + CALL 15%,CSI 300 LOCAL 85% + CALL 15%,KRW,Y,000,아시아,-16.91,0.00,0.00,0.00,22253531703.0000,10,0.00,-17.69,1.76,-2.86,-35.74,0,0010192C3615,0,배당,DB차이나본토자(H)(주식)C2,,DB차이나본토증권자투자신탁(H)[주식] CLASS C2,DB차이나본토증권자투자신탁(H)[주식] Class C2,KR5131450062,12123412001171101ZZB,KRZ501848364,0062110,0,주식형,00040006,해외,해당없음,00,해당없음,공모,030190062110,판매중,KR5216AL4645,Y,00020081,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
KOSPI200 5% +  KAP Bond Index 01Y 95%,KOSPI200 5% + 종합채권 01Y 95%,KRW,,000,국내,,0.13,11.91,18.28,391406046610.0000,10,0.53,,,,,0,0010214C1450,0,배당,마이다스거북이90자1호(주식)C-P1,,마이다스 거북이 90 증권 자투자신탁 1호(주식) C-P1클래스,마이다스 거북이 90 증권 자투자신탁 1호(주식) C-P1클래스,KR5157450087,12113A12036011111264,KRZ501843989,0053587,0,주식형,00080005,국내,개인,00,해당없음,공모,031740053587,판매중,K55303B72509,Y,00020081,4,보통 위험,4.0,True,2026-07-11,PRFD01N001
PIMCO EM Advantage Local Bond Index Src UCITS ETF,PIMCO EM Advantage Local Bond Index Src UCITS ETF,KRW,Y,000,글로벌,4.05,0.42,0.16,0.50,5853302028.0000,10,0.44,5.29,5.45,5.62,-11.16,0,0010205C4423,0,배당,미래에셋이머징달러우량국공채자(H)(채)Ce,,미래에셋이머징달러우량국공채증권자투자신탁(H)(채권)종류C-E,미래에셋이머징달러우량국공채증권자투자신탁(H)(채권)종류C-e,KR5153420216,111236121012331ZZ26D,KRZ502152875,0533840,0,채권형,00080008,해외,해당없음,00,해당없음,공모,031910533840,판매중,K55301BR5516,Y,00020027,4,보통 위험,4.0,True,2026-07-11,PRFD01N001
HO CHI MINH STOCK INDEX(LOCAL),베트남 호치민(LOCAL),KRW,Y,000,아시아,17.22,-4.35,1.21,7.14,70516389821.0000,10,-2.51,26.17,14.52,33.36,,0,0010211C3449,0,배당,유리베트남알파증권자투자신탁(주식)Ce,,유리베트남알파증권자투자신탁[주식] C-E,유리베트남알파증권자투자신탁[주식] C-e,KR5151450056,1212361200119110120C,KRZ502035654,0059561,0,주식형,00080010,해외,해당없음,00,해당없음,공모,032610059561,판매중,K55307B90031,Y,00020004,2,높은 위험,2.0,True,2026-07-11,PRFD01N001
